date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:45:58	393/393	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Nov%202021%2008:45:57%20GMT	https://demo.goodlayers.com/robots.txt		(from )
03:46:00	110284/110284	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2008:45:58%20GMT	https://demo.goodlayers.com/kingster/course-search/?course-keywords	C:/Users/kamp_/Desktop/ciclos/ciclos/demo.goodlayers.com/kingster/course-search/index1d77.html	(from )
03:46:00	5305/5305	---M-Z	200	added ('OK')	text/css	etag:%221636478171%22	http://a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/autoptimize/css/autoptimize_single_ee78f26525b08d4e372b92a1a3ed1d26.css?ver=5.9.1	C:/Users/kamp_/Desktop/ciclos/ciclos/a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/autoptimize/css/autoptimize_single_ee78f26525b08d4e372b92a1a3ed1d2674e5.css	(from https://demo.goodlayers.com/kingster/course-search/?course-keywords)
03:46:00	1106/1106	---M-Z	200	added ('OK')	text/css	etag:%221636478171%22	http://a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/autoptimize/css/autoptimize_single_c6a832191e7984247b250a333f49694c.css?ver=7.2.8	C:/Users/kamp_/Desktop/ciclos/ciclos/a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/autoptimize/css/autoptimize_single_c6a832191e7984247b250a333f49694c735f.css	(from https://demo.goodlayers.com/kingster/course-search/?course-keywords)
03:46:01	2216/2216	---M-Z	200	added ('OK')	text/css	etag:%221636478171%22	http://a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/autoptimize/css/autoptimize_single_e6fae855021a88a0067fcc58121c594f.css?ver=5.5.2	C:/Users/kamp_/Desktop/ciclos/ciclos/a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/autoptimize/css/autoptimize_single_e6fae855021a88a0067fcc58121c594f4245.css	(from https://demo.goodlayers.com/kingster/course-search/?course-keywords)
03:46:01	80574/80574	---MCZ	200	added ('OK')	text/css	etag:%221628436401%22	http://a6e8z9v6.stackpathcdn.com/kingster/wp-includes/css/dist/block-library/style.min.css?ver=5.8.2	C:/Users/kamp_/Desktop/ciclos/ciclos/a6e8z9v6.stackpathcdn.com/kingster/wp-includes/css/dist/block-library/style.min080f.css	(from https://demo.goodlayers.com/kingster/course-search/?course-keywords)
03:46:02	31291/31291	---MCZ	200	added ('OK')	text/css	etag:%221636478171%22	http://a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/autoptimize/css/autoptimize_single_1cbdf58db7054d3a8dad5f59864b7053.css?ver=5.8.2	C:/Users/kamp_/Desktop/ciclos/ciclos/a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/autoptimize/css/autoptimize_single_1cbdf58db7054d3a8dad5f59864b7053080f.css	(from https://demo.goodlayers.com/kingster/course-search/?course-keywords)
03:46:02	22143/22143	---MCZ	200	added ('OK')	text/css	etag:%221636478171%22	http://a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/autoptimize/css/autoptimize_single_1151d563689d7335d1aa1859d4de509f.css?ver=5.8.2	C:/Users/kamp_/Desktop/ciclos/ciclos/a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/autoptimize/css/autoptimize_single_1151d563689d7335d1aa1859d4de509f080f.css	(from https://demo.goodlayers.com/kingster/course-search/?course-keywords)
03:46:02	21758/21758	---MCZ	200	added ('OK')	text/css	etag:%221636478171%22	http://a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/autoptimize/css/autoptimize_single_2a94b58f68ef59beaa20f70bd8232853.css?ver=1613728098	C:/Users/kamp_/Desktop/ciclos/ciclos/a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/autoptimize/css/autoptimize_single_2a94b58f68ef59beaa20f70bd82328537cc1.css	(from https://demo.goodlayers.com/kingster/course-search/?course-keywords)
03:46:03	7021/7021	---M-Z	200	added ('OK')	text/css	etag:%221636478171%22	http://a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/autoptimize/css/autoptimize_single_456663a286a204386735fd775542a59e.css?ver=5.8.0	C:/Users/kamp_/Desktop/ciclos/ciclos/a6e8z9v6.stackpathcdn.com/kingster/wp-content/cache/autoptimize/css/autoptimize_single_456663a286a204386735fd775542a59e3e35.css	(from https://demo.goodlayers.com/kingster/course-search/?course-keywords)
